shape,carat,cut,color,clarity,report,type
Round,1.07,'Super Ideal',G,IF,GIA,natural
Round,1.02,'Super Ideal',H,VS1,IGI,lab
Oval,0.34,'Very Good',E,SI1,IGI,lab
Round,0.53,'Super Ideal',F,VS2,GIA,natural
Pear,0.9,Good,J,VS2,GIA,natural
Round,1.52,'Super Ideal',G,SI1,IGI,lab
Round,0.91,Ideal,J,VS2,IGI,lab
Asscher,1.01,'Very Good',E,SI1,IGI,lab
Round,0.8,'Super Ideal',G,VS2,GIA,natural
Oval,1.03,'Super Ideal',J,SI1,IGI,lab
Princess,2.59,'Very Good',G,VVS2,GCAL,lab
Pear,0.51,'Very Good',G,SI1,GIA,natural
Round,0.5,'Super Ideal',E,VVS2,GIA,natural
Oval,0.4,Ideal,E,VS2,GIA,natural
Round,1.0,'Very Good',J,SI1,GIA,natural
Oval,0.39,'Very Good',E,VS1,IGI,lab
Round,0.5,'Super Ideal',G,VS2,GIA,natural
Round,0.33,'Super Ideal',E,VS1,GIA,natural
Round,0.4,'Very Good',G,VS2,GIA,natural
Round,0.4,'Super Ideal',I,VVS2,GIA,natural
Emerald,1.01,'Very Good',E,VS2,IGI,lab
Oval,2.0,'Super Ideal',I,SI1,IGI,lab
Cushion,2.06,Ideal,G,VS1,GCAL,lab
Princess,0.71,'Super Ideal',F,VVS2,IGI,lab
Round,3.29,'Super Ideal',D,VVS1,IGI,lab
Round,0.7,'Super Ideal',E,SI1,IGI,lab
Round,0.6,Ideal,G,VS2,GIA,natural
Round,3.02,Ideal,G,SI1,IGI,lab
Round,0.8,'Super Ideal',G,VS1,GIA,natural
Round,0.51,'Super Ideal',G,VVS2,GIA,natural
Round,1.31,'Super Ideal',I,VS2,GIA,natural
Round,0.41,'Super Ideal',D,IF,GIA,natural
Princess,0.4,'Very Good',H,SI2,GIA,natural
Round,1.6,Ideal,I,SI1,IGI,lab
Round,0.33,'Super Ideal',E,VVS1,GIA,natural
Round,0.41,'Super Ideal',J,VVS1,GIA,natural
Round,0.33,'Super Ideal',D,VVS1,GIA,natural
Round,1.17,'Super Ideal',H,VVS1,GIA,natural
Round,0.4,'Very Good',F,VS1,GIA,natural
Round,0.5,'Super Ideal',E,VVS2,GIA,natural
Round,1.01,Ideal,J,VVS2,IGI,lab
Round,1.0,Ideal,I,VVS2,IGI,lab
Round,0.5,Ideal,E,VS1,GIA,natural
Pear,0.93,Ideal,D,VS2,GCAL,lab
Round,0.87,Ideal,G,VVS1,IGI,lab
Round,0.45,'Very Good',F,VVS2,GIA,natural
Pear,0.43,Ideal,G,VS1,IGI,lab
Radiant,0.6,Ideal,H,VS1,IGI,lab
Oval,2.08,'Super Ideal',J,SI1,IGI,lab
Pear,0.4,'Very Good',G,VS1,IGI,lab
Round,1.08,Ideal,I,VVS2,IGI,lab
Round,0.5,'Very Good',F,SI2,GIA,natural
Round,2.11,'Super Ideal',H,VS1,IGI,lab
Radiant,2.03,'Super Ideal',J,SI1,IGI,lab
Round,0.4,'Very Good',G,VS2,GIA,natural
Radiant,1.51,'Very Good',F,SI1,GIA,natural
Round,2.07,'Super Ideal',F,VS1,IGI,lab
Pear,0.3,Ideal,E,VS2,GIA,natural
Pear,0.5,Ideal,E,VS1,GIA,natural
Round,1.08,'Super Ideal',H,VS2,GIA,natural
Oval,1.0,'Very Good',G,SI2,GIA,natural
Oval,0.36,Ideal,E,VS1,IGI,lab
Round,0.76,'Super Ideal',E,VVS1,GIA,natural
Round,2.2,'Super Ideal',F,VS1,IGI,lab
Emerald,0.7,Ideal,I,VS1,GIA,natural
Round,0.3,'Very Good',G,SI2,GIA,natural
Emerald,2.71,'Super Ideal',F,VS2,IGI,lab
Oval,1.0,Ideal,H,SI1,IGI,lab
Round,1.12,'Super Ideal',E,SI1,IGI,lab
Heart,1.07,Ideal,I,SI1,IGI,lab
Round,0.3,'Super Ideal',F,VS2,GIA,natural
Pear,1.29,'Super Ideal',J,SI2,GIA,natural
Princess,1.51,Ideal,F,SI2,IGI,natural
Emerald,0.96,Ideal,F,VS1,GCAL,lab
Round,1.04,'Super Ideal',F,VVS2,IGI,lab
Round,0.42,Ideal,D,SI1,IGI,lab
Emerald,0.72,'Very Good',F,SI1,GCAL,lab
Oval,2.16,Ideal,H,SI1,GCAL,lab
Oval,0.4,Ideal,G,VS1,GIA,natural
Round,0.45,'Super Ideal',G,VS2,GIA,natural
Emerald,0.31,'Very Good',D,IF,GIA,natural
Round,0.9,Ideal,E,SI1,GIA,natural
Round,0.47,'Super Ideal',D,VVS1,GIA,natural
Round,0.5,'Very Good',D,VVS1,GIA,natural
Round,0.9,Ideal,D,SI2,GIA,natural
Round,1.04,Ideal,I,VS2,IGI,lab
Round,0.46,'Super Ideal',H,VVS2,GIA,natural
Pear,0.73,Ideal,F,SI1,GIA,natural
Round,0.3,'Super Ideal',G,IF,GIA,natural
Round,1.01,Fair,G,SI1,GIA,natural
Round,0.3,Ideal,G,VVS2,GIA,natural
Pear,0.31,'Very Good',H,VS2,GCAL,lab
Cushion,2.01,Ideal,H,VVS2,IGI,lab
Round,1.14,Ideal,I,VS1,IGI,lab
Round,0.32,'Very Good',H,VS2,IGI,natural
Oval,0.33,'Very Good',E,SI1,IGI,lab
Round,0.37,'Super Ideal',E,VVS1,GIA,natural
Oval,0.7,Ideal,D,VS2,IGI,lab
Round,0.31,'Super Ideal',G,IF,GIA,natural
Round,2.29,'Super Ideal',E,SI1,IGI,lab
Cushion,3.01,'Very Good',E,VS1,GCAL,lab
Round,0.5,'Super Ideal',D,VVS2,GIA,natural
Pear,0.74,'Very Good',F,VS1,IGI,lab
Round,0.61,'Super Ideal',G,SI1,GIA,natural
Round,0.83,'Super Ideal',D,VS1,GIA,natural
Round,0.32,'Super Ideal',E,VVS1,GIA,natural
Round,0.51,'Super Ideal',F,VS1,GIA,natural
Emerald,0.59,Ideal,D,VVS2,GIA,natural
Oval,2.04,Ideal,H,VS2,IGI,lab
Pear,0.39,Ideal,E,VS2,IGI,lab
Princess,2.03,Ideal,H,VS1,GCAL,lab
Round,0.47,'Super Ideal',D,IF,GIA,natural
Princess,0.3,Good,E,VS2,GIA,natural
Round,1.12,'Super Ideal',I,SI2,GIA,natural
Round,0.3,'Very Good',E,VVS1,GIA,natural
Round,1.26,'Super Ideal',D,VS2,IGI,lab
Round,1.06,'Super Ideal',I,VVS2,HRD,lab
Round,2.06,Ideal,J,VVS2,GCAL,lab
Round,1.01,Ideal,I,SI2,IGI,lab
Oval,1.51,'Super Ideal',H,VS2,GIA,natural
Oval,0.47,Ideal,G,SI1,GIA,natural
Cushion,3.04,'Very Good',E,VVS2,GCAL,lab
Round,2.0,'Super Ideal',H,VS2,IGI,lab
Radiant,1.01,'Very Good',E,SI1,IGI,lab
Round,0.73,Ideal,F,SI2,IGI,lab
Round,0.31,Ideal,D,VS2,IGI,lab
Oval,2.05,'Super Ideal',J,VS1,IGI,lab
Emerald,0.55,'Super Ideal',E,VVS1,GIA,natural
Round,0.85,Ideal,G,VS2,IGI,lab
Oval,1.5,Ideal,J,SI1,IGI,lab
Round,0.31,'Super Ideal',F,VVS2,GIA,natural
Round,1.2,'Super Ideal',G,VS2,GIA,natural
Round,0.7,Good,J,VS1,GIA,natural
Emerald,1.0,Ideal,E,SI1,GCAL,lab
Round,1.08,Ideal,F,VVS2,IGI,lab
Asscher,2.01,Ideal,J,VS2,IGI,lab
Round,0.7,'Very Good',H,VVS2,GIA,natural
Oval,0.56,'Super Ideal',F,VS2,IGI,lab
Emerald,0.6,'Super Ideal',H,VVS2,GIA,natural
Round,0.8,Good,E,VS2,GIA,natural
Round,0.3,'Super Ideal',E,VS1,GIA,natural
Princess,1.5,Ideal,H,SI2,GIA,natural
Round,0.4,Ideal,E,VS2,GIA,natural
Round,1.2,'Very Good',I,SI2,GIA,natural
Round,0.5,'Super Ideal',G,VS2,GIA,natural
Round,0.31,'Super Ideal',E,VVS2,GIA,natural
Oval,1.7,'Super Ideal',I,VS2,IGI,lab
Round,0.71,'Super Ideal',E,VS2,GIA,natural
Round,0.3,'Super Ideal',E,VVS1,GIA,natural
Round,0.46,'Super Ideal',D,VS2,IGI,lab
Round,0.42,'Super Ideal',E,VS2,GIA,natural
Princess,0.74,'Very Good',H,VS1,GCAL,lab
Round,0.34,'Super Ideal',J,VVS1,GIA,natural
Pear,1.5,Ideal,J,VS1,IGI,lab
Pear,0.4,'Very Good',E,VS2,GIA,natural
Round,0.9,'Very Good',F,VS2,GIA,natural
Emerald,2.21,'Super Ideal',E,VS1,IGI,lab
Heart,2.01,Ideal,G,SI1,GCAL,lab
Round,0.33,'Super Ideal',E,SI1,GIA,natural
Round,1.01,Ideal,H,SI2,IGI,natural
Round,3.01,'Super Ideal',J,SI1,GIA,natural
Oval,1.7,Ideal,J,SI2,IGI,lab
Pear,2.01,Ideal,H,SI2,IGI,lab
Round,1.01,'Super Ideal',H,SI1,GIA,natural
Pear,0.72,Ideal,H,VS1,IGI,lab
Round,1.7,'Super Ideal',J,VVS2,IGI,lab
Round,0.32,'Super Ideal',D,VVS1,GIA,natural
Round,0.4,'Super Ideal',F,VVS2,GIA,natural
Oval,1.08,Ideal,I,VS2,IGI,lab
Princess,0.55,Ideal,D,SI2,GIA,natural
Oval,1.0,Ideal,G,VS1,GIA,natural
Emerald,0.3,Ideal,G,VS1,GIA,natural
Round,2.0,'Very Good',E,SI1,IGI,lab
Oval,0.43,Ideal,E,VVS2,GIA,natural
Oval,0.74,Ideal,F,VS2,GCAL,lab
Round,0.3,Ideal,D,VVS2,GIA,natural
Round,0.4,'Super Ideal',E,VS2,GIA,natural
Emerald,0.3,'Very Good',E,SI1,GIA,natural
Emerald,0.69,'Very Good',J,SI1,IGI,lab
Cushion,1.52,'Super Ideal',J,VVS2,GIA,natural
Round,0.4,Ideal,E,VVS2,GIA,natural
Round,0.31,'Super Ideal',G,VS2,GIA,natural
Pear,0.3,Ideal,D,VS2,GIA,natural
Pear,0.3,Ideal,G,VS1,GIA,natural
Round,0.53,'Super Ideal',D,VS2,GIA,natural
Round,0.3,Ideal,D,SI1,GIA,natural
Round,1.08,Ideal,J,VVS2,IGI,lab
Round,1.0,'Super Ideal',H,SI1,GIA,natural
Oval,1.02,Ideal,F,VVS1,IGI,lab
Cushion,1.71,'Super Ideal',I,SI1,GIA,natural
Round,0.3,'Super Ideal',D,IF,GIA,natural
Heart,0.9,Ideal,G,VS2,GIA,natural
Round,1.02,'Very Good',G,VS1,GIA,natural
Round,0.3,'Super Ideal',G,VS2,GIA,natural
Round,0.5,'Super Ideal',J,VS2,GIA,natural
Round,0.51,'Super Ideal',D,IF,GIA,natural
Round,5.8,'Super Ideal',D,IF,IGI,lab
Oval,1.2,'Very Good',D,VS1,GIA,natural
Princess,0.4,Good,J,SI2,GIA,natural
Oval,0.82,Ideal,H,VVS2,GIA,natural
Round,0.31,'Super Ideal',D,VVS2,GIA,natural
Round,1.01,'Super Ideal',E,VS1,GIA,natural
Oval,0.4,Ideal,I,VVS2,GIA,natural
Oval,2.0,Ideal,H,SI2,IGI,natural
Pear,1.04,Ideal,G,VS1,IGI,lab
Marquise,0.59,Ideal,D,SI1,GIA,natural
Round,1.5,Ideal,D,VS1,IGI,lab
Oval,0.52,Ideal,E,SI1,GIA,natural
Round,0.3,'Super Ideal',E,VS1,IGI,lab
Round,1.2,Ideal,J,VVS2,HRD,lab
Round,0.26,'Super Ideal',E,VS1,GIA,natural
Round,0.3,'Super Ideal',D,VS2,GIA,natural
Round,0.5,'Super Ideal',E,VS2,GIA,natural
Round,0.35,'Super Ideal',E,SI1,GIA,natural
Round,0.71,'Super Ideal',D,VS1,GIA,natural
Round,0.5,'Super Ideal',F,VVS1,GIA,natural
Round,1.34,Ideal,I,SI1,IGI,lab
Pear,1.5,'Very Good',I,VS1,IGI,lab
Round,1.7,Ideal,I,SI1,IGI,lab
Oval,2.01,'Super Ideal',I,SI2,IGI,lab
Pear,0.52,Ideal,H,VS1,IGI,lab
Pear,0.4,Ideal,E,VS1,IGI,lab
Round,1.2,'Super Ideal',D,VVS2,GIA,natural
Pear,0.48,'Very Good',F,VS1,IGI,lab
Round,1.19,'Super Ideal',I,VVS1,GIA,natural
Round,0.3,Ideal,D,IF,GIA,natural
Round,1.59,Ideal,I,SI2,IGI,lab
Round,0.31,'Super Ideal',F,VS2,GIA,natural
Emerald,0.3,Ideal,D,VVS2,GIA,natural
Emerald,0.3,'Super Ideal',D,VVS1,GIA,natural
Pear,0.96,'Very Good',I,VS2,GIA,natural
Round,0.41,'Super Ideal',E,VS1,GIA,natural
Round,0.8,'Super Ideal',H,VS2,GIA,natural
Round,0.38,'Super Ideal',E,FL,GIA,natural
Round,1.17,Ideal,I,VVS2,IGI,lab
Round,0.37,'Super Ideal',E,VS1,GIA,natural
Round,2.0,Ideal,J,VS1,IGI,lab
Oval,1.54,Ideal,E,VS1,IGI,lab
Oval,1.6,Ideal,F,VS1,IGI,lab
Round,0.33,Ideal,D,SI1,GIA,natural
Pear,0.74,'Very Good',G,VS1,IGI,lab
Round,1.13,'Super Ideal',I,VS1,GIA,natural
Marquise,0.3,Good,F,VS1,GIA,natural
Round,0.81,'Super Ideal',I,VVS2,GIA,natural
Emerald,0.77,'Very Good',I,VS2,IGI,lab
Round,0.32,Ideal,F,VS2,IGI,natural
Round,0.5,Ideal,D,VS2,IGI,lab
Round,0.5,'Super Ideal',F,VS2,GIA,natural
Princess,1.01,Ideal,G,SI2,GIA,natural
Round,0.49,'Very Good',F,SI2,GIA,natural
Round,0.33,'Super Ideal',D,VVS2,GIA,natural
Round,0.4,Ideal,F,VVS2,GIA,natural
Marquise,0.3,Ideal,E,SI1,GIA,natural
Princess,3.17,Ideal,E,VVS1,IGI,lab
Round,0.3,'Super Ideal',E,SI1,GIA,natural
Pear,0.7,Ideal,G,VS1,IGI,lab
Round,2.04,Ideal,J,VS1,IGI,lab
Round,0.52,'Super Ideal',E,VS1,GIA,natural
Pear,1.05,'Very Good',F,VS1,GCAL,lab
Round,0.7,'Super Ideal',F,VS2,GIA,natural
Round,0.3,'Very Good',E,VVS2,GIA,natural
Oval,0.52,'Very Good',H,VVS2,IGI,lab
Cushion,0.71,'Super Ideal',H,SI1,GIA,natural
Round,1.0,'Super Ideal',H,VS2,GIA,natural
Heart,0.36,'Very Good',F,VVS1,GIA,natural
Round,1.0,'Very Good',I,VS1,IGI,lab
Round,0.71,'Super Ideal',G,SI2,GIA,natural
Pear,0.54,Good,I,SI1,IGI,lab
Cushion,1.5,'Super Ideal',G,SI2,GIA,natural
Round,2.04,Ideal,J,VS1,IGI,lab
Emerald,3.84,Ideal,E,VS1,GCAL,lab
Round,1.5,'Super Ideal',J,SI1,IGI,lab
Round,0.3,'Very Good',D,SI1,GIA,natural
Emerald,0.51,Ideal,D,SI1,GIA,natural
Oval,2.0,'Super Ideal',I,SI1,IGI,lab
Round,2.01,Ideal,I,SI1,IGI,lab
Oval,0.7,'Very Good',F,SI1,GIA,natural
Round,0.31,Ideal,D,VS2,IGI,lab
Pear,0.51,Ideal,G,SI1,GIA,natural
Marquise,0.38,Ideal,D,VS2,GCAL,lab
Round,0.5,'Super Ideal',H,VVS2,GIA,natural
Round,0.5,'Super Ideal',E,VS2,GIA,natural
Round,0.34,'Super Ideal',D,VS1,GIA,natural
Round,2.05,Ideal,F,VVS1,IGI,lab
Round,0.4,'Super Ideal',E,VS2,GCAL,lab
Round,0.32,'Super Ideal',D,VVS1,IGI,lab
Oval,1.9,Ideal,G,SI2,IGI,natural
Round,0.77,'Super Ideal',E,VVS1,GIA,natural
Emerald,0.36,Ideal,F,VS2,GIA,natural
Round,1.12,'Super Ideal',J,VS2,IGI,lab
Cushion,0.74,'Very Good',E,SI1,IGI,lab
Round,1.29,'Super Ideal',G,VVS2,IGI,lab
Round,0.3,Ideal,E,VVS1,GIA,natural
Round,1.08,Fair,D,SI2,IGI,lab
Pear,0.75,'Super Ideal',H,SI1,GIA,natural
Round,0.41,'Super Ideal',D,VVS2,GIA,natural
Round,0.37,Ideal,H,VS2,GIA,natural
Round,0.57,'Super Ideal',G,VS2,GIA,natural
Round,0.6,Ideal,E,VS2,IGI,lab
Heart,0.9,'Very Good',I,SI2,GIA,natural
Round,0.35,Ideal,G,VVS2,GIA,natural
Round,0.45,'Super Ideal',J,VS1,GIA,natural
Cushion,0.35,'Very Good',F,VVS2,IGI,lab
Princess,1.21,Ideal,G,VS2,GIA,natural
Round,0.43,'Super Ideal',G,IF,GIA,natural
Round,1.0,'Super Ideal',E,VVS2,GIA,natural
Round,0.37,'Super Ideal',D,VVS2,IGI,lab
Oval,0.33,'Very Good',J,VS1,GIA,natural
Round,0.3,'Super Ideal',F,VS2,GIA,natural
Round,1.57,'Super Ideal',I,SI1,GIA,natural
Round,0.4,Good,F,VVS1,GIA,natural
Round,1.41,Ideal,G,SI2,IGI,natural
Round,0.36,'Super Ideal',E,VVS2,IGI,lab
Round,0.4,'Super Ideal',I,VVS2,GIA,natural
Round,0.35,'Super Ideal',D,VS2,GIA,natural
Round,0.34,'Super Ideal',I,SI1,GIA,natural
Round,1.16,Ideal,I,VS1,IGI,lab
Round,1.01,'Super Ideal',I,VVS2,GIA,natural
Round,0.26,'Super Ideal',E,VS2,GIA,natural
Round,1.21,Ideal,H,SI2,IGI,natural
Round,1.0,Good,G,VS1,GIA,natural
Pear,0.44,'Super Ideal',F,SI1,IGI,lab
Pear,0.5,'Very Good',D,VVS2,GIA,natural
Round,0.32,Ideal,D,VS2,GIA,natural
Round,0.57,'Super Ideal',D,IF,GIA,natural
Cushion,2.06,Ideal,G,VS1,IGI,lab
Pear,1.0,'Super Ideal',H,SI2,GIA,natural
Round,1.02,Ideal,J,SI2,IGI,lab
Round,2.32,'Super Ideal',J,VS1,IGI,lab
Round,0.55,'Super Ideal',G,VVS1,GIA,natural
Oval,3.01,'Very Good',I,VS1,GCAL,lab
Oval,2.0,Ideal,D,SI2,GIA,natural
Round,0.4,'Super Ideal',D,VS1,GIA,natural
Emerald,4.02,'Super Ideal',E,VS1,IGI,lab
Pear,0.31,'Very Good',E,SI2,GIA,natural
Round,1.06,'Super Ideal',D,VS1,GIA,natural
Cushion,2.73,'Very Good',I,VS1,GCAL,lab
Round,0.9,'Super Ideal',D,SI1,GIA,natural
Round,0.58,'Super Ideal',F,VS2,GIA,natural
Pear,0.3,Ideal,D,VVS1,GIA,natural
Oval,1.5,Ideal,J,SI1,IGI,lab
Pear,0.33,'Very Good',E,SI1,IGI,lab
Oval,1.5,'Super Ideal',G,VS2,IGI,lab
Emerald,2.5,'Super Ideal',J,VS1,GIA,natural
Pear,0.3,'Very Good',E,VVS2,GIA,natural
Round,1.0,'Super Ideal',H,SI2,GIA,natural
Round,1.2,'Super Ideal',I,VS2,GIA,natural
Round,1.19,Ideal,H,VS1,IGI,lab
Round,0.3,'Very Good',F,VS2,GIA,natural
Emerald,1.52,Ideal,I,SI1,IGI,lab
Round,0.73,'Super Ideal',I,SI1,IGI,lab
Round,0.56,'Super Ideal',H,IF,GIA,natural
Round,1.28,'Super Ideal',I,VS2,IGI,lab
Cushion,1.09,Good,E,SI1,IGI,lab
Round,0.3,'Super Ideal',J,IF,GIA,natural
Round,0.54,'Very Good',D,SI1,IGI,lab
Round,2.01,'Super Ideal',G,SI2,HRD,natural
Oval,2.51,'Super Ideal',I,VS1,IGI,lab
Round,0.5,'Very Good',E,SI2,GIA,natural
Princess,0.5,Ideal,F,SI1,GIA,natural
Round,0.3,'Super Ideal',D,SI2,GIA,natural
Pear,0.36,Ideal,H,VS1,IGI,lab
Round,1.01,'Super Ideal',H,SI1,GIA,natural
Princess,1.5,'Super Ideal',F,VVS2,IGI,lab
Round,0.38,'Super Ideal',D,VS1,GIA,natural
Round,0.4,'Super Ideal',G,IF,GIA,natural
Round,1.02,'Super Ideal',F,VVS2,IGI,lab
Asscher,1.31,'Very Good',G,SI1,IGI,lab
Oval,2.0,Ideal,I,SI2,IGI,lab
Princess,2.51,Good,G,VVS1,GIA,natural
Radiant,2.0,Ideal,D,VS2,IGI,lab
Round,1.9,Ideal,I,SI1,IGI,lab
Round,0.71,Ideal,F,VS2,GCAL,lab
Pear,0.61,Ideal,E,VS1,GIA,natural
Emerald,0.3,Ideal,D,VS1,GIA,natural
Round,1.66,Ideal,I,VVS2,IGI,lab
Round,2.0,'Super Ideal',G,VS1,IGI,lab
Round,1.64,'Super Ideal',E,VS2,IGI,lab
Round,0.7,Ideal,F,VS1,GCAL,lab
Pear,0.51,Ideal,G,VS1,GIA,natural
Round,1.22,Ideal,I,SI1,IGI,lab
Round,0.79,'Super Ideal',F,VS1,IGI,lab
Pear,1.0,Ideal,E,VS1,IGI,lab
Round,0.52,'Super Ideal',E,VS1,GIA,natural
Cushion,1.2,Ideal,F,SI2,GIA,natural
Pear,1.01,Ideal,I,SI1,IGI,lab
Pear,0.8,'Very Good',H,VVS1,GIA,natural
Round,0.4,'Very Good',H,SI2,GIA,natural
Round,0.3,'Super Ideal',E,VVS1,GIA,natural
Round,2.05,Ideal,G,SI1,IGI,lab
Princess,2.03,Ideal,J,VS2,IGI,lab
Round,0.4,'Super Ideal',D,VS2,GIA,natural
Round,1.0,Fair,E,SI1,GIA,natural
Cushion,1.5,'Super Ideal',D,VS2,GIA,natural
Round,0.25,'Super Ideal',G,VS1,GIA,natural
Round,1.17,'Super Ideal',I,SI1,IGI,lab
Oval,0.5,'Very Good',E,VS2,GCAL,lab
Princess,0.6,'Very Good',G,VS2,GIA,natural
Cushion,1.01,'Super Ideal',F,SI2,GIA,natural
Round,0.6,'Super Ideal',F,VVS2,GIA,natural
Pear,0.32,Ideal,G,VS2,IGI,lab
Pear,0.47,Ideal,D,SI1,GIA,natural
Round,0.32,'Super Ideal',F,IF,GIA,natural
Emerald,1.15,'Very Good',E,SI2,IGI,lab
Round,0.33,Ideal,D,VS2,IGI,lab
Oval,2.11,Ideal,F,VS1,IGI,lab
Emerald,0.5,Ideal,D,VS2,GIA,natural
Oval,3.24,'Super Ideal',D,VVS2,IGI,lab
Round,0.4,'Super Ideal',E,VS1,GIA,natural
Oval,1.5,Ideal,I,SI2,IGI,lab
Round,1.45,'Super Ideal',J,VS2,IGI,lab
Round,0.7,'Super Ideal',D,SI1,GIA,natural
Round,0.46,'Very Good',H,VS2,GIA,natural
Round,1.0,Good,F,SI2,HRD,natural
Pear,0.52,Ideal,G,VS1,IGI,lab
Pear,0.71,Ideal,F,VS2,GIA,natural
Cushion,2.01,'Super Ideal',G,VS1,IGI,lab
Round,1.05,'Super Ideal',H,VS1,IGI,lab
Round,0.45,'Super Ideal',F,VS1,GIA,natural
Round,1.05,'Super Ideal',G,VVS1,GIA,natural
Marquise,0.52,Ideal,D,VS2,GIA,natural
Pear,0.4,Good,F,SI1,IGI,lab
Emerald,2.01,Ideal,E,VS2,GCAL,lab
Round,2.21,'Super Ideal',H,VS1,IGI,lab
Round,0.4,'Super Ideal',D,VS2,GIA,natural
Round,1.01,'Very Good',F,IF,GIA,natural
Emerald,0.31,Ideal,E,VS2,GIA,natural
Round,0.33,'Super Ideal',E,VVS1,GIA,natural
Round,1.03,'Super Ideal',F,SI2,GIA,natural
Oval,0.3,'Very Good',E,VS1,GIA,natural
Round,1.03,'Super Ideal',J,VVS2,IGI,lab
Round,1.08,'Super Ideal',I,VS2,IGI,lab
Round,1.03,'Super Ideal',G,VVS2,GCAL,lab
Round,1.19,'Super Ideal',E,VS1,IGI,lab
Round,0.4,'Very Good',E,VS1,GIA,natural
Round,0.5,'Very Good',E,SI1,GIA,natural
Round,0.5,'Super Ideal',E,SI1,IGI,lab
Round,6.93,'Super Ideal',H,SI1,GIA,natural
Cushion,1.14,'Very Good',H,SI2,IGI,lab
Round,1.5,'Super Ideal',D,SI1,GIA,natural
Pear,0.5,'Super Ideal',F,SI2,GIA,natural
Emerald,0.5,Ideal,J,VS2,GIA,natural
Oval,2.01,'Super Ideal',D,SI1,GIA,natural
Round,3.16,'Super Ideal',J,VS1,IGI,lab
Emerald,0.7,Ideal,E,VS1,IGI,lab
Round,0.61,'Super Ideal',D,SI2,GIA,natural
Round,0.53,'Super Ideal',F,SI1,GIA,natural
Round,1.0,'Very Good',G,SI1,IGI,lab
Round,3.0,Ideal,J,VS2,IGI,lab
Round,1.54,Ideal,I,VS1,HRD,lab
Round,0.4,Good,I,VS1,GIA,natural
Round,0.3,Ideal,F,VS2,GIA,natural
Round,0.36,'Super Ideal',E,VVS2,GCAL,lab
Emerald,0.53,Ideal,E,VVS1,GIA,natural
Round,2.05,'Super Ideal',F,VS1,IGI,lab
Oval,1.31,'Very Good',F,VS1,IGI,lab
Oval,1.5,Ideal,F,SI2,IGI,natural
Emerald,1.0,Ideal,E,VVS2,GIA,natural
Round,0.7,Ideal,F,VS1,IGI,lab
Round,0.54,'Super Ideal',E,VS2,GIA,natural
Oval,2.06,Ideal,I,VS2,IGI,lab
Round,0.3,'Super Ideal',E,VVS1,GIA,natural
Round,1.1,Ideal,F,VVS2,IGI,lab
Round,0.5,'Super Ideal',E,VS1,GIA,natural
Round,1.03,Ideal,G,VS2,IGI,lab
Round,0.4,'Very Good',D,VVS2,GIA,natural
Round,2.21,Ideal,J,VS2,IGI,lab
Asscher,2.54,Ideal,F,VS1,GCAL,lab
Round,0.5,Good,F,SI1,GIA,natural
Round,0.4,Ideal,E,VS2,GIA,natural
Round,1.01,'Super Ideal',J,VVS2,GIA,natural
Oval,2.03,Ideal,F,VS2,GCAL,lab
Emerald,0.87,'Super Ideal',H,VVS2,IGI,lab
Round,1.2,Ideal,J,VS1,IGI,lab
Round,2.02,Ideal,J,VS1,IGI,lab
Round,1.61,Ideal,J,VVS1,IGI,lab
Round,0.7,'Super Ideal',D,VS1,GIA,natural
Round,0.45,'Very Good',H,VS1,GIA,natural
Round,1.83,'Super Ideal',H,SI2,IGI,lab
Round,0.7,Ideal,D,VS2,GIA,natural
Round,0.3,'Super Ideal',D,VS2,GIA,natural
Round,0.3,'Super Ideal',H,IF,GIA,natural
Round,0.4,'Super Ideal',D,VS2,GIA,natural
Round,0.4,'Super Ideal',I,VVS1,GIA,natural
Round,0.4,'Super Ideal',F,VS1,GIA,natural
Round,0.25,'Super Ideal',E,VS1,GIA,natural
Round,0.46,'Super Ideal',D,IF,GIA,natural
Round,0.44,'Super Ideal',D,SI1,GIA,natural
Round,0.6,'Super Ideal',E,VS1,GIA,natural
Round,1.08,'Super Ideal',E,VS1,IGI,lab
Round,1.04,'Super Ideal',E,VS1,GIA,natural
Round,1.57,Ideal,I,VVS2,IGI,lab
Round,0.34,'Super Ideal',D,IF,GIA,natural
Pear,0.34,'Very Good',E,VS1,IGI,lab
Cushion,1.7,'Very Good',G,VS2,GCAL,lab
Asscher,1.22,'Very Good',G,SI2,IGI,lab
Round,1.12,'Super Ideal',I,VS2,IGI,lab
Round,0.3,'Super Ideal',F,SI1,GIA,natural
Round,1.08,Ideal,J,VVS2,IGI,lab
Round,1.13,Good,I,SI2,IGI,lab
Pear,0.52,'Super Ideal',F,VVS2,IGI,lab
Emerald,0.5,'Very Good',J,SI1,IGI,lab
Round,0.31,'Super Ideal',E,VVS1,GIA,natural
Round,0.51,'Super Ideal',E,IF,GIA,natural
Oval,1.57,Ideal,I,SI2,IGI,lab
Round,1.09,Ideal,J,VVS2,IGI,lab
Round,1.75,'Super Ideal',I,VS1,HRD,lab
Round,1.01,'Super Ideal',E,SI1,GIA,natural
Cushion,0.34,'Very Good',E,SI1,IGI,lab
Round,1.11,Ideal,F,VVS2,IGI,lab
Emerald,0.34,Ideal,D,VS2,GIA,natural
Round,0.3,'Super Ideal',D,SI1,GIA,natural
Oval,1.5,'Super Ideal',I,VS2,IGI,lab
